income,age,marital,race,sex
50000,28,1,4,2
21470,78,7,1,2
44718,60,1,1,1
18156,70,1,1,1
100791,46,1,1,2
46013,45,1,1,1
5640,48,7,1,1
27338,25,7,1,1
15031,25,7,1,1
26000,36,7,1,2
276418,37,1,1,1
26000,44,7,2,2
8664,39,7,1,2
29900,43,7,2,2
64500,27,1,1,1
14760,52,7,1,1
36192,37,7,1,2
12084,75,5,1,1
32750,18,7,1,2
18573,62,5,2,2
20000,20,7,2,1
8399,90,4,1,2
20516,90,1,1,1
132000,35,3,1,1
53276,26,7,1,1
63024,39,7,1,2
207769,52,1,1,1
43120,45,1,1,1
95862,47,1,1,1
12079,73,1,1,1
92736,48,1,1,1
88281,36,1,1,1
30392,30,5,1,2
190432,52,1,2,1
84200,39,5,1,1
79100,28,1,1,2
35042,74,1,1,1
60777,45,7,1,2
35106,67,1,1,1
82842,54,1,1,1
22452,33,7,1,1
39000,48,5,1,1
8400,62,5,1,1
35293,40,7,1,2
19000,59,5,1,2
88333,40,1,1,1
102561,41,1,1,1
158424,51,1,1,2
81242,84,4,1,2
33025,31,6,1,2
102530,36,1,1,1
36428,38,5,1,2
91302,47,1,1,1
47360,32,1,1,2
34632,73,1,1,1
34970,49,5,1,2
3564,71,5,1,2
3660,75,1,1,2
32580,70,1,1,2
9276,66,5,1,2
47878,36,1,1,1
22664,71,1,1,1
12800,58,6,1,2
30575,34,7,1,1
16218,70,4,1,2
51162,39,1,1,1
6420,24,7,1,1
90000,28,5,1,1
30100,30,7,1,2
26021,47,7,1,1
251707,48,1,1,2
15660,82,1,1,1
58000,45,5,1,2
13292,83,4,1,2
17251,59,5,1,2
30000,24,7,1,1
106000,34,1,1,1
72400,54,1,1,1
99030,46,1,1,1
16000,41,5,1,2
18000,46,5,1,2
27192,69,1,1,2
35000,41,5,1,1
24613,49,1,2,2
51861,15,7,1,1
33000,26,1,1,1
46190,32,1,1,1
25784,27,7,1,2
34500,27,7,1,1
35282,43,5,1,2
52991,48,7,1,2
43154,58,1,1,1
30010,53,7,1,2
28010,49,5,1,1
47646,44,1,1,1
15104,86,4,1,2
74000,55,7,1,1
16000,71,7,1,1
53100,66,1,1,1
31000,29,7,1,1
35000,36,1,1,2
282021,53,1,1,1
22632,72,1,1,1
53000,50,1,1,1
32798,71,4,2,1
1200,40,7,2,2
16800,65,1,1,1
70037,59,6,1,1
73000,54,1,2,1
10583,85,4,1,2
19000,44,5,1,2
55560,65,1,1,1
48000,50,1,1,2
10932,87,1,2,1
45000,47,5,1,1
47139,64,1,1,1
59700,33,7,1,1
22000,35,7,2,2
14125,26,7,2,2
81248,50,1,1,1
48300,47,5,1,2
9066,49,4,2,2
6234,28,7,1,2
51865,57,7,1,2
179821,60,5,1,1
38600,35,1,1,1
14946,37,1,1,2
47000,52,5,1,2
57873,66,1,1,2
147162,40,1,1,1
38765,27,7,1,1
85048,37,1,1,1
21360,74,1,2,1
99210,44,1,1,1
46836,46,1,1,1
17998,57,1,1,2
92746,39,1,1,1
12338,74,4,1,2
15432,52,7,1,2
6000,57,7,1,2
8803,79,4,1,2
56093,60,7,1,2
114766,27,1,1,2
38552,72,1,1,1
106864,50,1,1,1
23550,78,4,1,2
76430,36,1,1,1
20724,63,1,1,1
19952,90,4,1,2
52915,51,5,2,1
178000,55,1,1,1
6030,32,1,1,2
58060,28,7,1,2
36786,50,6,2,2
25333,40,1,1,1
32300,63,5,1,2
91239,57,1,1,1
119433,31,7,1,2
25000,47,7,2,2
64150,28,1,1,1
154791,46,5,1,2
208230,54,1,1,1
18030,44,7,1,1
44200,32,1,1,1
9424,75,7,1,1
20142,58,7,1,1
17000,46,5,1,2
126910,43,1,1,2
53160,30,1,1,2
12428,79,4,1,2
169400,53,1,1,1
35100,25,7,1,2
71528,30,7,1,2
134300,29,1,1,2
50422,80,7,1,2
40500,61,5,1,2
14000,31,1,1,1
36085,31,5,2,2
39566,75,4,1,1
25489,76,1,1,1
30055,44,7,1,2
8268,52,4,2,2
22408,77,1,1,1
68596,70,1,1,1
85869,48,4,1,1
60702,41,1,4,1
205426,48,4,1,2
85823,44,1,1,1
28252,38,7,1,2
700,35,3,1,1
40000,43,1,1,1
8020,43,5,2,2
59020,51,7,2,1
22000,61,4,2,2
20830,64,1,1,2
49500,31,7,1,2
88842,69,1,1,2
449745,48,5,1,2
20430,72,4,1,2
137004,50,1,1,1
52096,43,1,1,1
23642,69,1,1,1
96332,39,1,1,2
28000,59,6,2,2
14560,45,5,1,2
16148,26,7,2,2
26000,36,7,2,2
36018,51,1,1,2
18500,51,5,2,2
5644,24,1,1,2
7644,33,7,1,2
42508,44,1,1,2
28863,74,4,1,2
36900,61,1,1,1
30718,74,4,1,2
59200,51,1,1,2
41000,36,1,1,1
52022,27,1,1,2
47320,23,7,4,2
7800,40,5,4,2
102200,26,7,1,1
133040,60,1,1,2
169302,43,3,1,2
31000,49,5,1,2
48067,50,1,4,1
13607,57,4,1,2
167536,79,1,1,1
11986,88,3,1,2
13746,80,4,1,1
52136,33,5,1,1
229749,45,1,1,1
17490,64,1,1,2
109690,48,1,2,2
20388,64,4,1,2
19047,33,6,1,1
38830,53,5,1,1
34267,52,4,1,2
75025,41,1,1,1
50000,26,7,2,1
20175,27,7,1,2
6384,66,5,1,2
24500,42,5,1,1
66280,43,1,1,1
38695,56,5,1,1
45768,37,1,1,2
296542,37,1,1,1
81352,50,5,1,2
32764,21,6,1,2
83563,51,4,1,2
107342,50,1,1,2
107500,47,1,1,2
98408,52,1,1,1
37448,81,3,1,2
27958,75,4,1,2
17044,90,3,1,1
7871,88,4,1,2
18296,65,6,2,2
35820,42,1,1,1
17808,29,1,1,1
100091,27,7,1,2
67290,52,5,1,2
97373,45,1,2,2
29146,67,4,2,1
58900,42,7,2,1
126646,69,5,2,2
10196,75,4,2,2
16800,69,5,2,1
231324,55,1,1,1
91200,26,1,1,2
80540,39,1,1,1
21715,40,1,2,2
11766,76,4,1,2
82484,39,1,1,2
15750,17,7,2,2
15600,33,1,1,1
11300,42,1,1,2
51076,63,1,1,1
26000,49,4,1,1
21646,62,4,1,2
7717,51,5,1,2
37100,27,1,1,1
12000,60,5,1,1
47700,43,1,2,2
55458,71,4,1,2
62000,58,4,1,2
31102,63,1,1,1
54924,65,1,1,1
31024,31,7,1,1
44999,55,5,1,1
138011,48,1,1,1
61100,54,5,1,2
38700,32,7,1,2
18798,70,4,1,2
67812,39,1,1,1
52000,43,7,1,2
29500,41,1,2,1
38039,41,7,2,1
64380,51,1,1,1
18586,70,4,1,2
22126,72,1,1,1
36000,37,1,1,1
35014,22,1,1,1
6919,85,4,1,2
49480,62,5,1,1
15035,81,4,1,2
8130,71,4,2,2
24994,71,1,1,2
28515,45,7,1,2
54200,34,1,1,2
98057,48,1,1,2
66194,51,1,1,1
85800,43,1,1,1
160427,59,4,1,2
60020,38,7,1,1
74490,32,1,1,1
101000,30,1,1,2
49137,56,1,1,1
70718,46,1,1,2
19494,68,7,1,1
72196,54,7,1,2
53310,35,7,1,1
175800,28,1,1,2
74647,42,1,1,1
16032,85,4,1,2
40966,65,5,1,2
83099,52,1,1,1
52800,52,5,2,1
45840,48,5,1,2
49222,59,1,1,1
129967,58,1,1,1
43132,61,7,1,2
46500,30,7,1,2
15080,21,7,4,1
55302,65,4,1,2
3480,78,7,1,1
41000,61,4,4,2
64376,44,1,1,2
88900,34,1,1,1
31514,71,4,1,2
90400,37,6,1,1
77507,76,1,1,1
18152,73,7,1,2
3672,45,5,2,1
44029,30,7,1,1
6000,79,4,1,2
13460,65,1,1,1
25000,55,1,1,1
25500,23,7,2,2
15032,43,6,4,2
13146,78,5,2,2
27433,53,5,2,2
106463,73,6,2,1
153270,50,1,1,2
57200,51,5,2,2
54410,38,1,1,1
80020,42,1,1,1
59117,29,7,1,2
95301,43,1,1,2
110626,52,1,1,1
23320,28,6,1,2
10368,77,4,1,2
78137,49,1,1,1
13182,89,4,2,2
1558,41,1,2,2
43101,63,1,1,1
33341,83,4,1,1
27340,73,1,1,2
61000,41,1,1,1
99240,48,1,1,2
6276,27,7,2,2
16680,90,4,2,2
12288,62,5,2,2
41500,44,5,2,1
50640,35,5,1,2
128960,29,7,1,2
52588,56,5,1,1
29755,71,1,1,2
32207,37,3,1,2
45025,28,1,1,1
12609,60,4,1,2
64900,44,1,1,1
93041,40,1,1,1
10279,60,4,1,2
59204,33,1,1,1
102150,31,1,1,1
61150,27,1,1,1
40794,67,1,1,2
181163,47,1,4,1
145991,53,1,1,2
22038,57,5,1,2
12600,71,4,1,2
80677,31,7,1,1
94660,71,1,1,2
39080,72,1,1,2
8602,77,4,1,2
40796,37,1,1,2
20782,75,4,1,2
17152,43,1,1,1
5000,38,7,2,2
13266,77,4,1,1
4866,68,4,1,2
74024,40,1,1,2
30660,62,1,1,1
39700,47,1,1,1
53000,44,1,1,1
42395,65,4,1,2
39178,29,5,2,1
36536,60,4,1,2
25525,28,1,1,1
57400,50,7,1,1
16250,30,7,1,2
89200,53,1,1,1
53000,50,1,1,2
91057,37,1,1,2
49790,77,4,1,2
36278,61,6,1,2
39690,65,1,1,1
23399,89,4,1,1
73529,46,1,1,1
30339,45,1,1,2
124270,32,1,1,2
37400,46,1,1,1
21314,60,1,1,2
50332,27,7,1,1
8832,19,7,2,2
23846,75,5,1,1
13520,32,7,1,2
400836,67,1,1,1
