,trial,dataset,epsilon,scale,domain,GreedyH,Opt
69,19.0,SEARCHLOGS,0.1,100000.0,4096.0,70.648878113,51.7143256855
70,20.0,SEARCHLOGS,0.1,100000.0,4096.0,77.9430240795,69.2169902904
71,21.0,SEARCHLOGS,0.1,100000.0,4096.0,79.0049635957,75.1718412556
72,22.0,SEARCHLOGS,0.1,100000.0,4096.0,96.8059981004,63.068436323
73,23.0,SEARCHLOGS,0.1,100000.0,4096.0,113.45909063,85.9431692816
74,24.0,SEARCHLOGS,0.1,100000.0,4096.0,70.6407817068,62.8201965935
75,0.0,SEARCHLOGS,1.0,100000.0,256.0,8.50180049823,8.83970258481
76,1.0,SEARCHLOGS,1.0,100000.0,256.0,11.2700551162,5.68460682182
77,2.0,SEARCHLOGS,1.0,100000.0,256.0,8.40938944632,6.35680369977
78,3.0,SEARCHLOGS,1.0,100000.0,256.0,10.1997697004,7.29385182084
79,4.0,SEARCHLOGS,1.0,100000.0,256.0,8.32840874769,6.44478526719
80,5.0,SEARCHLOGS,1.0,100000.0,256.0,11.0301324966,7.73566680543
81,6.0,SEARCHLOGS,1.0,100000.0,256.0,6.7974723486,7.75190026981
82,7.0,SEARCHLOGS,1.0,100000.0,256.0,11.1602461898,8.10969628413
83,8.0,SEARCHLOGS,1.0,100000.0,256.0,10.4624707023,5.84809031653
84,9.0,SEARCHLOGS,1.0,100000.0,256.0,5.77914174634,6.88850769911
85,10.0,SEARCHLOGS,1.0,100000.0,256.0,5.46130606973,5.38456161127
86,11.0,SEARCHLOGS,1.0,100000.0,256.0,8.54558754271,6.03196394719
87,12.0,SEARCHLOGS,1.0,100000.0,256.0,17.7619398969,7.94044789978
88,13.0,SEARCHLOGS,1.0,100000.0,256.0,8.73340188897,6.63026778629
89,14.0,SEARCHLOGS,1.0,100000.0,256.0,8.43107805956,11.8977493855
90,15.0,SEARCHLOGS,1.0,100000.0,256.0,6.07442999326,9.08278968891
91,16.0,SEARCHLOGS,1.0,100000.0,256.0,11.6457257352,4.3474384084
92,17.0,SEARCHLOGS,1.0,100000.0,256.0,11.7743863813,7.8430699097
93,18.0,SEARCHLOGS,1.0,100000.0,256.0,7.06189430594,9.29994073145
94,19.0,SEARCHLOGS,1.0,100000.0,256.0,8.81993907909,9.37096587903
95,20.0,SEARCHLOGS,1.0,100000.0,256.0,5.31123936027,10.5873506993
96,21.0,SEARCHLOGS,1.0,100000.0,256.0,10.5597180723,5.5983183083
97,22.0,SEARCHLOGS,1.0,100000.0,256.0,8.10924064381,6.56220204425
98,23.0,SEARCHLOGS,1.0,100000.0,256.0,6.90946020298,8.32641150034
99,24.0,SEARCHLOGS,1.0,100000.0,256.0,8.7915682943,8.56845425964
100,0.0,SEARCHLOGS,1.0,100000.0,1024.0,8.22025887676,8.28823032935
101,1.0,SEARCHLOGS,1.0,100000.0,1024.0,12.8835005488,7.86235442753
102,2.0,SEARCHLOGS,1.0,100000.0,1024.0,10.7262918415,7.55032781358
103,3.0,SEARCHLOGS,1.0,100000.0,1024.0,11.3714770485,10.3874222196
104,4.0,SEARCHLOGS,1.0,100000.0,1024.0,11.5548552585,7.07817817903
105,5.0,SEARCHLOGS,1.0,100000.0,1024.0,13.5305925321,8.35489479846
106,6.0,SEARCHLOGS,1.0,100000.0,1024.0,9.93807713766,7.23504357905
107,7.0,SEARCHLOGS,1.0,100000.0,1024.0,11.0341418418,8.09465557986
108,8.0,SEARCHLOGS,1.0,100000.0,1024.0,10.1608634039,8.86879986126
109,9.0,SEARCHLOGS,1.0,100000.0,1024.0,13.9707992628,10.1527716822
110,10.0,SEARCHLOGS,1.0,100000.0,1024.0,8.33957010865,11.5120655905
111,11.0,SEARCHLOGS,1.0,100000.0,1024.0,12.0051374867,7.49528834997
112,12.0,SEARCHLOGS,1.0,100000.0,1024.0,25.101960124,10.5016060357
113,13.0,SEARCHLOGS,1.0,100000.0,1024.0,10.9193349421,8.73127180561
114,14.0,SEARCHLOGS,1.0,100000.0,1024.0,18.3281139988,9.36684590759
115,15.0,SEARCHLOGS,1.0,100000.0,1024.0,9.41090385931,7.6688970634
116,16.0,SEARCHLOGS,1.0,100000.0,1024.0,13.2959689984,7.32506581775
117,17.0,SEARCHLOGS,1.0,100000.0,1024.0,11.1309488844,9.39566917538
118,18.0,SEARCHLOGS,1.0,100000.0,1024.0,11.4857976023,7.68075088566
119,19.0,SEARCHLOGS,1.0,100000.0,1024.0,13.132832335,18.047000509
120,20.0,SEARCHLOGS,1.0,100000.0,1024.0,8.9642271985,7.15299519947
121,21.0,SEARCHLOGS,1.0,100000.0,1024.0,10.5570124613,9.58623261174
122,22.0,SEARCHLOGS,1.0,100000.0,1024.0,15.6738162716,8.90351696294
123,23.0,SEARCHLOGS,1.0,100000.0,1024.0,15.3012564076,8.59306367212
124,24.0,SEARCHLOGS,1.0,100000.0,1024.0,10.0484939928,10.2443905193
125,0.0,SEARCHLOGS,1.0,100000.0,4096.0,9.48429551249,9.91276841502
126,1.0,SEARCHLOGS,1.0,100000.0,4096.0,18.8874930168,9.47769621332
127,2.0,SEARCHLOGS,1.0,100000.0,4096.0,19.6620286424,9.56713776388
128,3.0,SEARCHLOGS,1.0,100000.0,4096.0,12.9517605444,10.6838518836
129,4.0,SEARCHLOGS,1.0,100000.0,4096.0,10.5834564743,13.1009968034
130,5.0,SEARCHLOGS,1.0,100000.0,4096.0,15.6971727933,9.40920237045
131,6.0,SEARCHLOGS,1.0,100000.0,4096.0,13.243305571,10.9208400031
132,7.0,SEARCHLOGS,1.0,100000.0,4096.0,17.2686540176,10.9521862768
133,8.0,SEARCHLOGS,1.0,100000.0,4096.0,11.1590892256,12.4761493629
134,9.0,SEARCHLOGS,1.0,100000.0,4096.0,36.6881028779,11.8284350739
135,10.0,SEARCHLOGS,1.0,100000.0,4096.0,15.650519485,7.89761474987
136,11.0,SEARCHLOGS,1.0,100000.0,4096.0,12.6411024174,12.8816706927
137,12.0,SEARCHLOGS,1.0,100000.0,4096.0,23.9765289523,11.280132204
138,13.0,SEARCHLOGS,1.0,100000.0,4096.0,14.0331244854,9.49793762589
139,14.0,SEARCHLOGS,1.0,100000.0,4096.0,19.8931449629,12.9368240645
140,15.0,SEARCHLOGS,1.0,100000.0,4096.0,9.03951226798,9.41210944248
141,16.0,SEARCHLOGS,1.0,100000.0,4096.0,10.7924632905,8.67939844599
142,17.0,SEARCHLOGS,1.0,100000.0,4096.0,17.2989537287,10.6089818648
143,18.0,SEARCHLOGS,1.0,100000.0,4096.0,10.5213888463,8.8003460546
144,19.0,SEARCHLOGS,1.0,100000.0,4096.0,16.5649552371,18.1255454311
145,20.0,SEARCHLOGS,1.0,100000.0,4096.0,14.7979387192,10.4838078746
146,21.0,SEARCHLOGS,1.0,100000.0,4096.0,13.0749531503,8.18452901176
147,22.0,SEARCHLOGS,1.0,100000.0,4096.0,14.3826862464,7.32035628453
148,23.0,SEARCHLOGS,1.0,100000.0,4096.0,22.0366835556,9.21109323826
