,trial,dataset,epsilon,scale,domain,GreedyH,Opt
209,9,MEDCOST,0.01,100000,4096,1358.61050805,761.657588279
210,10,MEDCOST,0.01,100000,4096,307.381930026,384.27225808
211,11,MEDCOST,0.01,100000,4096,284.388667338,375.643171727
212,12,MEDCOST,0.01,100000,4096,2364.68750431,701.627386359
213,13,MEDCOST,0.01,100000,4096,376.438544055,422.802698212
214,14,MEDCOST,0.01,100000,4096,925.76306175,697.757576921
215,15,MEDCOST,0.01,100000,4096,322.946081578,810.048706165
216,16,MEDCOST,0.01,100000,4096,513.626320598,477.658997706
217,17,MEDCOST,0.01,100000,4096,371.393035125,420.45814382
218,18,MEDCOST,0.01,100000,4096,343.58165803,1042.17455615
219,19,MEDCOST,0.01,100000,4096,251.975070587,491.865862316
220,20,MEDCOST,0.01,100000,4096,686.121189862,613.426350701
221,21,MEDCOST,0.01,100000,4096,338.63239561,590.139409634
222,22,MEDCOST,0.01,100000,4096,964.416809307,454.068682885
223,23,MEDCOST,0.01,100000,4096,1279.73394963,427.113784504
224,24,MEDCOST,0.01,100000,4096,352.454125743,326.887352537
225,0,MEDCOST,1.0,100000,256,13.6823270323,7.62311795961
226,1,MEDCOST,1.0,100000,256,8.51687256194,10.439557849
227,2,MEDCOST,1.0,100000,256,6.44319130741,8.35600065522
228,3,MEDCOST,1.0,100000,256,11.5223705341,7.53018992652
229,4,MEDCOST,1.0,100000,256,8.69695759817,7.28597573627
230,5,MEDCOST,1.0,100000,256,15.3618738378,6.32978164264
231,6,MEDCOST,1.0,100000,256,9.73098467597,10.4489348235
232,7,MEDCOST,1.0,100000,256,18.6795050361,8.28628147408
233,8,MEDCOST,1.0,100000,256,10.6270944795,8.56699112053
234,9,MEDCOST,1.0,100000,256,7.7209049118,7.4783503679
235,10,MEDCOST,1.0,100000,256,8.04571540921,12.4139448907
236,11,MEDCOST,1.0,100000,256,8.56238443887,13.8201912498
237,12,MEDCOST,1.0,100000,256,13.20344288,7.37631512225
238,13,MEDCOST,1.0,100000,256,6.81525460859,9.54230557491
239,14,MEDCOST,1.0,100000,256,9.4068848867,6.49293903062
240,15,MEDCOST,1.0,100000,256,5.94013298466,7.20821196199
241,16,MEDCOST,1.0,100000,256,13.0734065026,13.3778364777
242,17,MEDCOST,1.0,100000,256,19.819301411,7.85738767953
243,18,MEDCOST,1.0,100000,256,6.23761445874,6.92180477173
244,19,MEDCOST,1.0,100000,256,12.3506167252,7.29818570534
245,20,MEDCOST,1.0,100000,256,17.6625662974,9.57001408595
246,21,MEDCOST,1.0,100000,256,7.30292416243,7.40129627975
247,22,MEDCOST,1.0,100000,256,10.1911451668,8.97857228057
248,23,MEDCOST,1.0,100000,256,14.6978949687,5.37628725641
249,24,MEDCOST,1.0,100000,256,15.2757267839,12.9725861974
250,0,MEDCOST,1.0,100000,1024,10.098148796,16.7698940286
251,1,MEDCOST,1.0,100000,1024,14.9919012455,9.27014987962
252,2,MEDCOST,1.0,100000,1024,6.32273937351,11.858254471
253,3,MEDCOST,1.0,100000,1024,20.3539295559,13.6567598498
254,4,MEDCOST,1.0,100000,1024,9.58545261473,8.68963782847
255,5,MEDCOST,1.0,100000,1024,27.0107332633,8.89681309142
256,6,MEDCOST,1.0,100000,1024,14.3606177573,12.0639313981
257,7,MEDCOST,1.0,100000,1024,13.5862046104,13.2390616445
258,8,MEDCOST,1.0,100000,1024,29.9763330635,9.14357311645
259,9,MEDCOST,1.0,100000,1024,7.83441067358,13.0213865171
260,10,MEDCOST,1.0,100000,1024,19.0787270061,11.8949153418
261,11,MEDCOST,1.0,100000,1024,10.0655036685,12.1013279784
262,12,MEDCOST,1.0,100000,1024,23.2298924707,15.9119596307
263,13,MEDCOST,1.0,100000,1024,15.8298220387,9.10080158066
264,14,MEDCOST,1.0,100000,1024,12.7848090694,10.7910101933
265,15,MEDCOST,1.0,100000,1024,13.9884046226,10.6230319396
266,16,MEDCOST,1.0,100000,1024,35.3734427045,12.3754888292
267,17,MEDCOST,1.0,100000,1024,16.254015198,11.5150461677
268,18,MEDCOST,1.0,100000,1024,12.1027957259,10.8386533498
269,19,MEDCOST,1.0,100000,1024,16.5540945438,15.1946135739
270,20,MEDCOST,1.0,100000,1024,12.407351359,10.7204283126
271,21,MEDCOST,1.0,100000,1024,13.8410377001,10.3804245612
272,22,MEDCOST,1.0,100000,1024,14.6098688861,9.23530378761
273,23,MEDCOST,1.0,100000,1024,20.2783621236,8.55784533749
274,24,MEDCOST,1.0,100000,1024,10.2314027922,10.7118266365
275,0,MEDCOST,1.0,100000,4096,21.9844425401,11.0655324443
276,1,MEDCOST,1.0,100000,4096,14.9791648091,13.7462235335
277,2,MEDCOST,1.0,100000,4096,22.6415745673,12.0782476078
278,3,MEDCOST,1.0,100000,4096,20.2282112538,11.1715638998
279,4,MEDCOST,1.0,100000,4096,24.6101695887,12.0231681607
280,5,MEDCOST,1.0,100000,4096,38.3753683839,11.9626502004
281,6,MEDCOST,1.0,100000,4096,34.2031449476,10.6035519035
282,7,MEDCOST,1.0,100000,4096,15.0540942501,10.8800156932
283,8,MEDCOST,1.0,100000,4096,24.3563452905,13.1536846589
284,9,MEDCOST,1.0,100000,4096,30.1074605713,10.2957111415
285,10,MEDCOST,1.0,100000,4096,20.2105150124,13.9032149081
286,11,MEDCOST,1.0,100000,4096,14.3177474475,10.4721948624
287,12,MEDCOST,1.0,100000,4096,34.956982111,11.9201895625
288,13,MEDCOST,1.0,100000,4096,15.4465293773,14.1827459879
289,14,MEDCOST,1.0,100000,4096,20.6539087264,9.5550191963
290,15,MEDCOST,1.0,100000,4096,10.0080911368,10.9391453777
291,16,MEDCOST,1.0,100000,4096,19.6601491563,11.7202363061
292,17,MEDCOST,1.0,100000,4096,17.1492412719,15.1949321258
293,18,MEDCOST,1.0,100000,4096,24.4457808154,14.0025309807
294,19,MEDCOST,1.0,100000,4096,37.5485336574,13.6644078598
295,20,MEDCOST,1.0,100000,4096,21.5098823115,14.3650001839
296,21,MEDCOST,1.0,100000,4096,34.2053036878,10.765013284
297,22,MEDCOST,1.0,100000,4096,16.6939327285,15.9328695263
298,23,MEDCOST,1.0,100000,4096,17.7954949478,14.7846605973
299,24,MEDCOST,1.0,100000,4096,17.6873847732,14.5685028365
300,0,HEPTH,0.01,100000,256,421.967904503,700.261065639
301,1,HEPTH,0.01,100000,256,926.066707956,1365.48163205
302,2,HEPTH,0.01,100000,256,491.939291492,666.004847867
303,3,HEPTH,0.01,100000,256,692.342317223,831.28228061
304,4,HEPTH,0.01,100000,256,278.211161077,603.725669502
305,5,HEPTH,0.01,100000,256,853.115719124,964.059270948
306,6,HEPTH,0.01,100000,256,727.411407754,611.346148975
307,7,HEPTH,0.01,100000,256,530.884762072,420.906628192
308,8,HEPTH,0.01,100000,256,697.703478247,289.786277718
309,9,HEPTH,0.01,100000,256,897.371091401,918.904616505
310,10,HEPTH,0.01,100000,256,346.548707366,755.364361978
311,11,HEPTH,0.01,100000,256,711.106478028,719.268921484
312,12,HEPTH,0.01,100000,256,882.188603412,1072.82911352
313,13,HEPTH,0.01,100000,256,455.731173243,509.832723402
314,14,HEPTH,0.01,100000,256,1521.05828317,1321.80626248
315,15,HEPTH,0.01,100000,256,191.772307202,335.170217115
316,16,HEPTH,0.01,100000,256,1006.7758092,700.188729883
317,17,HEPTH,0.01,100000,256,896.136236972,640.545019057
318,18,HEPTH,0.01,100000,256,319.714419305,486.255587059
319,19,HEPTH,0.01,100000,256,616.907028693,393.13288514
320,20,HEPTH,0.01,100000,256,940.355685856,906.52539096
321,21,HEPTH,0.01,100000,256,478.909287778,590.707684096
322,22,HEPTH,0.01,100000,256,652.823725162,707.053846178
323,23,HEPTH,0.01,100000,256,872.96305359,578.482805167
324,24,HEPTH,0.01,100000,256,385.629143852,441.397463024
325,0,HEPTH,0.01,100000,1024,680.178554576,538.37803001
326,1,HEPTH,0.01,100000,1024,359.84187905,583.452180567
327,2,HEPTH,0.01,100000,1024,831.046178717,1558.81855679
328,3,HEPTH,0.01,100000,1024,776.070259771,370.016982326
329,4,HEPTH,0.01,100000,1024,667.238678566,661.800950803
330,5,HEPTH,0.01,100000,1024,1135.61360479,490.419977128
331,6,HEPTH,0.01,100000,1024,408.620663826,535.835187458
332,7,HEPTH,0.01,100000,1024,553.965800518,757.848323889
333,8,HEPTH,0.01,100000,1024,844.426442899,736.927098808
334,9,HEPTH,0.01,100000,1024,1740.71332137,1512.4991122
335,10,HEPTH,0.01,100000,1024,536.85643747,330.67122609
336,11,HEPTH,0.01,100000,1024,478.358353476,1177.80326445
337,12,HEPTH,0.01,100000,1024,1331.98317825,625.385639866
338,13,HEPTH,0.01,100000,1024,582.24191253,716.373370948
339,14,HEPTH,0.01,100000,1024,1082.6461558,728.459039794
340,15,HEPTH,0.01,100000,1024,502.071267729,665.613532471
341,16,HEPTH,0.01,100000,1024,545.768624825,681.188189897
342,17,HEPTH,0.01,100000,1024,960.426378727,731.488902891
343,18,HEPTH,0.01,100000,1024,409.555677413,529.800174583
344,19,HEPTH,0.01,100000,1024,554.510467256,521.212442467
345,20,HEPTH,0.01,100000,1024,504.079275522,575.495467944
346,21,HEPTH,0.01,100000,1024,826.910706295,789.838436316
347,22,HEPTH,0.01,100000,1024,655.385161457,470.377489841
348,23,HEPTH,0.01,100000,1024,698.915079537,673.881166336
349,24,HEPTH,0.01,100000,1024,504.747699582,489.524091804
350,0,HEPTH,0.01,100000,4096,690.898400727,473.643219941
351,1,HEPTH,0.01,100000,4096,836.950489786,540.14382528
352,2,HEPTH,0.01,100000,4096,734.685930082,427.010005513
353,3,HEPTH,0.01,100000,4096,487.822599127,639.929587244
354,4,HEPTH,0.01,100000,4096,737.63966983,707.513109133
355,5,HEPTH,0.01,100000,4096,997.357503008,1134.85355684
356,6,HEPTH,0.01,100000,4096,579.460352804,523.223538391
357,7,HEPTH,0.01,100000,4096,816.367549503,614.992469531
358,8,HEPTH,0.01,100000,4096,1134.03781729,527.755680059
359,9,HEPTH,0.01,100000,4096,824.107541478,693.590752425
360,10,HEPTH,0.01,100000,4096,733.703534862,569.811961212
361,11,HEPTH,0.01,100000,4096,477.823833408,646.185982904
362,12,HEPTH,0.01,100000,4096,908.15461365,643.506765845
363,13,HEPTH,0.01,100000,4096,588.377860603,954.376742415
364,14,HEPTH,0.01,100000,4096,741.634410821,533.689377855
365,15,HEPTH,0.01,100000,4096,501.414469272,1065.25322009
366,16,HEPTH,0.01,100000,4096,761.578418545,382.664179258
367,17,HEPTH,0.01,100000,4096,1222.58260618,1058.76308968
368,18,HEPTH,0.01,100000,4096,414.283770074,623.688507455
369,19,HEPTH,0.01,100000,4096,667.911677474,1389.45931039
370,20,HEPTH,0.01,100000,4096,547.365683562,720.008280605
371,21,HEPTH,0.01,100000,4096,672.743175177,905.077739614
372,22,HEPTH,0.01,100000,4096,568.219988095,606.831592168
373,23,HEPTH,0.01,100000,4096,811.409403556,522.173963197
374,24,HEPTH,0.01,100000,4096,455.085054266,558.845937639
375,0,HEPTH,1.0,100000,256,7.94288970422,18.727904234
376,1,HEPTH,1.0,100000,256,14.4391353141,17.2499560305
377,2,HEPTH,1.0,100000,256,5.92328772135,9.28068882853
378,3,HEPTH,1.0,100000,256,14.2984216176,7.2024855599
379,4,HEPTH,1.0,100000,256,7.6226332673,9.57084123128
380,5,HEPTH,1.0,100000,256,9.68289166992,7.34725673352
381,6,HEPTH,1.0,100000,256,16.5035288447,6.1718378491
382,7,HEPTH,1.0,100000,256,11.2646815137,8.41907438873
383,8,HEPTH,1.0,100000,256,7.66420719302,11.1383018552
384,9,HEPTH,1.0,100000,256,11.4568370296,6.84781759869
